mturk,political_stand,session,question_id_sequence,current_question,world,sequential_number,aid
5c352d75-b080-401f-8f81-5d375fbb81bd,strong Republicans,5c352d9d80e63,"23,3,15,12,9,20,19,14,7,6,2,5,17,1,13,4,16,10,18,8,11,25",11,6,0,5c352d75-b080-401f-8f81-5d375fbb81bd
5c352dcb-1a8a-43b1-949b-c6e803189aaf,strong Republicans,5c352df87ac96,"23,6,7,16,9,10,19,14,8,2,18,1,17,4,12,11,20,3,13,5,15,25",15,4,0,5c352dcb-1a8a-43b1-949b-c6e803189aaf
5c352dd8-2c1f-4426-8559-338b0f140338,Republicans,5c352ea3840d0,"24,14,16,13,20,18,17,3,9,19,7,12,6,10,4,15,8,2,11,1,5,25",5,5,0,5c352dd8-2c1f-4426-8559-338b0f140338
5c3536c5-3177-4e81-bc0c-6b351dea4dab,strong Democrats,5c3536f58a1f0,"23,5,4,17,2,8,16,13,10,7,15,1,6,3,14,11,12,20,9,18,19,25",19,3,0,5c3536c5-3177-4e81-bc0c-6b351dea4dab
5c3536f0-288e-490f-9e12-c87a1a359cc1,strong Democrats,5c35373fdd261,"24,17,2,4,10,9,15,6,20,16,1,8,5,18,3,13,12,14,19,11,7,25",7,2,0,5c3536f0-288e-490f-9e12-c87a1a359cc1
5c353833-a4f3-475e-b3a0-7853bbeb7b75,strong Republicans,5c353891ea6c1,"24,19,6,11,17,5,12,1,3,9,8,2,15,14,7,16,20,18,10,13,4,25",25,8,0,5c353833-a4f3-475e-b3a0-7853bbeb7b75
5c35386d-39f6-4a87-8ff6-26f969636fff,strong Democrats,5c3538d84c64c,"23,10,15,3,11,13,1,17,4,9,16,20,2,7,5,6,12,18,19,8,14,25",14,9,0,5c35386d-39f6-4a87-8ff6-26f969636fff
5c353db8-69ce-467d-abd8-765f21df71f2,strong Republicans,5c353e2b994d3,"24,8,9,19,5,20,15,4,7,13,14,18,2,12,3,10,17,16,1,6,11,25",11,1,0,5c353db8-69ce-467d-abd8-765f21df71f2
5c35429f-397d-47ca-b6bf-1ed5df021f6e,strong Democrats,5c3542f4983b3,"24,20,17,6,12,16,11,18,14,15,19,5,1,10,13,9,7,8,3,2,4,25",4,10,0,5c35429f-397d-47ca-b6bf-1ed5df021f6e
5c354680-5193-4435-bddd-1a6833942678,strong Democrats,5c35471d7e452,"23,2,19,12,18,7,3,11,9,20,13,1,5,17,6,16,14,4,15,8,10,25",10,7,0,5c354680-5193-4435-bddd-1a6833942678
5c354727-ead4-46ad-b3d1-b07122af2a60,Republicans,5c35477605e65,"23,18,2,4,10,15,19,3,20,13,9,16,17,1,11,5,6,7,12,14,8,25",25,2,0,5c354727-ead4-46ad-b3d1-b07122af2a60
5c3546fe-f699-4daf-914b-2a602e682278,strong Democrats,5c35478ecc6d8,"23,5,20,4,1,12,16,6,14,15,19,18,13,2,7,9,10,17,3,11,8,25",8,9,0,5c3546fe-f699-4daf-914b-2a602e682278
5c354999-0e40-4844-9b0b-1bb81581e65c,Republicans,5c3549feab506,"23,20,3,15,6,4,14,11,7,5,8,10,1,19,18,13,16,12,17,2,9,25",25,1,0,5c354999-0e40-4844-9b0b-1bb81581e65c
5c354a5f-fcca-4c69-94b9-c2082b30e88f,Democrats,5c354aba568fc,"24,5,11,14,10,17,6,20,18,8,12,9,1,3,2,4,16,19,7,15,13,25",13,4,0,5c354a5f-fcca-4c69-94b9-c2082b30e88f
5c354a88-71e4-400a-bff6-c25c140a3e34,strong Democrats,5c354abf36ba3,"23,3,6,10,1,19,11,2,7,5,12,14,9,8,13,17,20,4,16,18,15,25",25,7,0,5c354a88-71e4-400a-bff6-c25c140a3e34
5c354abf-b1ce-4c6e-8bc4-1ea39676f6bf,,5c354b7205220,"24,2,10,20,8,5,7,1,12,9,18,14,19,4,11,6,13,15,3,17,16,25",24,6,0,5c354abf-b1ce-4c6e-8bc4-1ea39676f6bf
5c354b5d-bddb-4b2a-a34e-cb802ab7d359,Republicans,5c354bbcde475,"24,18,5,2,8,3,4,16,7,6,15,13,20,14,19,17,10,1,11,9,12,25",12,8,0,5c354b5d-bddb-4b2a-a34e-cb802ab7d359
5c354ba8-5b94-4a1b-b743-fb5e9b4a9859,strong Democrats,5c354be219eb9,"24,15,4,16,3,1,10,7,13,18,17,9,5,14,12,11,8,2,19,20,6,25",6,10,0,5c354ba8-5b94-4a1b-b743-fb5e9b4a9859
5c354a39-562d-4ca2-b7e5-aebe07eee14b,,5c354be4d6f30,"23,11,17,4,7,13,1,2,5,20,16,18,14,19,12,6,9,8,3,15,10,25",23,5,0,5c354a39-562d-4ca2-b7e5-aebe07eee14b
5c354bbf-8b3c-4cd1-b10a-c283f56655c9,Democrats,5c354c0f05449,"24,11,8,19,3,17,10,6,9,4,18,7,1,5,20,14,16,15,12,13,2,25",25,3,0,5c354bbf-8b3c-4cd1-b10a-c283f56655c9
5c354ad0-be76-4ec8-a0aa-c6282e7fdbf9,,5c354c1250ba5,"24,8,4,1,9,10,3,15,17,16,6,11,2,12,18,13,14,20,7,5,19,25",24,1,0,5c354ad0-be76-4ec8-a0aa-c6282e7fdbf9
5c354bf3-fbea-4d9c-b86b-65795e9c3d41,strong Democrats,5c354c328532d,"24,14,15,12,7,17,1,11,6,19,3,13,8,16,4,20,2,9,18,10,5,25",5,2,0,5c354bf3-fbea-4d9c-b86b-65795e9c3d41
5c354d16-c6fa-4d18-8610-3ad7c8503f5c,strong Democrats,5c354d5d7e22b,"23,15,18,10,9,19,16,13,6,7,4,3,17,11,5,1,12,8,20,14,2,25",2,9,0,5c354d16-c6fa-4d18-8610-3ad7c8503f5c
5c354d88-849d-4abf-9822-f5f6edf5032a,strong Democrats,5c354dbbd1f13,"23,10,3,20,5,13,1,6,9,15,16,11,14,4,17,8,12,7,2,18,19,25",19,10,0,5c354d88-849d-4abf-9822-f5f6edf5032a
5c354dca-1c51-48b6-89b2-9cd29a020bf6,strong Democrats,5c354e1193de5,"23,20,17,15,5,16,8,3,4,14,9,2,12,19,7,13,11,6,1,18,10,25",25,4,0,5c354dca-1c51-48b6-89b2-9cd29a020bf6
5c354e7c-8666-444d-917e-808f32630f95,,5c354eabaae5f,"24,19,9,15,4,11,14,10,16,5,18,13,7,1,2,17,3,20,8,12,6,25",24,6,0,5c354e7c-8666-444d-917e-808f32630f95
5c354ddd-0820-43b8-a1d1-9bfc5de5f26a,strong Democrats,5c354eb1723a6,"23,8,17,16,13,5,9,20,1,14,2,15,11,6,18,7,19,12,10,4,3,25",3,3,0,5c354ddd-0820-43b8-a1d1-9bfc5de5f26a
5c354ec8-12e6-499c-8963-c17bf0915c5a,Republicans,5c354f167b4b0,"24,13,19,6,15,8,10,1,3,4,7,14,17,18,11,9,20,5,12,16,2,25",2,7,0,5c354ec8-12e6-499c-8963-c17bf0915c5a
5c354f9c-90d2-4f24-8f85-c9fedf4c27bc,,5c354ff42a215,"23,1,6,9,17,14,5,20,12,18,2,8,16,10,13,11,3,7,4,15,19,25",23,5,0,5c354f9c-90d2-4f24-8f85-c9fedf4c27bc
5c354fb3-6ac7-4f07-bd66-2624856eba54,strong Democrats,5c354ff870e9c,"23,11,5,14,10,7,9,1,20,15,12,8,13,18,3,16,4,19,2,6,17,25",17,8,0,5c354fb3-6ac7-4f07-bd66-2624856eba54
5c356d57-6858-4385-b40d-a072ecdc4f24,strong Republicans,5c356d78879ed,"23,5,2,6,18,10,20,16,15,1,11,13,7,4,8,3,9,14,12,19,17,25",1,3,0,5c356d57-6858-4385-b40d-a072ecdc4f24
5c356f85-342d-401d-9c63-73fbf1bed492,strong Democrats,5c3571abbb281,"23,5,11,13,18,7,20,3,10,1,15,2,6,14,19,4,9,12,17,16,8,25",23,9,0,5c356f85-342d-401d-9c63-73fbf1bed492
5c3572af-da9c-42a1-9956-ff4a00c6bb6f,Democrats,5c357309a93e7,"24,16,11,4,10,14,5,13,9,8,2,7,17,12,6,19,3,18,20,15,1,25",1,2,0,5c3572af-da9c-42a1-9956-ff4a00c6bb6f
5c357770-a399-46ba-8357-5dca449023c9,strong Republicans,5c35781320ac3,"23,20,6,2,16,5,7,3,17,12,11,18,13,1,15,8,9,14,4,19,10,25",10,5,0,5c357770-a399-46ba-8357-5dca449023c9
5c357b77-4798-49fd-a6db-779d003b6bdc,Democrats,5c357ba9ad7cc,"23,13,3,9,1,14,20,4,17,19,11,12,2,7,5,18,16,8,15,6,10,25",10,7,0,5c357b77-4798-49fd-a6db-779d003b6bdc
5c357fff-7973-43e8-a595-97936910eb57,strong Republicans,5c35805d51ea2,"24,6,4,2,11,20,3,18,5,12,10,17,1,14,13,19,16,15,9,7,8,25",8,4,0,5c357fff-7973-43e8-a595-97936910eb57
5c3580e0-5d7a-4fa7-9fc2-3e77901aae4c,strong Democrats,5c35814718ce2,"24,14,11,9,12,8,5,19,13,6,3,2,1,4,15,17,18,10,20,7,16,25",16,1,0,5c3580e0-5d7a-4fa7-9fc2-3e77901aae4c
5c3583f9-8b0d-47b6-a4e2-bb739b088936,strong Republicans,5c35847dd3053,"23,17,10,15,5,18,20,2,6,8,7,1,16,13,12,14,4,11,9,19,3,25",25,10,0,5c3583f9-8b0d-47b6-a4e2-bb739b088936
5c3584db-dc3e-40e4-b5ea-032f6902966b,Republicans,5c358578b2700,"24,2,7,19,11,6,10,9,17,13,8,4,20,16,14,1,15,12,5,3,18,25",,6,0,5c3584db-dc3e-40e4-b5ea-032f6902966b
5c3585a9-8811-4a4c-a9db-2423f491fdcd,strong Democrats,5c3585e4df6df,"23,2,8,19,13,12,15,14,5,4,1,10,16,3,18,6,9,11,7,20,17,25",25,8,0,5c3585a9-8811-4a4c-a9db-2423f491fdcd
5c358589-a6c2-4a45-aa3d-8594ae455fdc,strong Democrats,5c3586067d1f1,"23,15,10,16,6,17,13,7,1,9,4,8,19,5,18,2,20,14,3,12,11,25",11,1,0,5c358589-a6c2-4a45-aa3d-8594ae455fdc
5c3585b2-0b49-4829-9519-e26d717665ac,Democrats,5c35860c4f056,"23,15,18,19,7,8,1,16,13,2,3,20,14,11,17,5,9,10,4,12,6,25",6,10,0,5c3585b2-0b49-4829-9519-e26d717665ac
5c358634-1433-4560-8939-655bcdee7ec0,Democrats,5c35869b2c5f0,"24,9,7,4,1,15,16,18,17,12,13,3,19,8,2,11,20,6,5,14,10,25",10,8,0,5c358634-1433-4560-8939-655bcdee7ec0
5c35868a-cfd8-45e1-93a5-ac1fd0135cc8,,5c35872497127,"24,10,18,16,7,17,19,3,2,13,14,6,1,12,5,4,15,8,20,9,11,25",24,9,0,5c35868a-cfd8-45e1-93a5-ac1fd0135cc8
5c35869f-4a76-44ab-b896-70d513868912,strong Democrats,5c3587435f78b,"24,5,13,15,1,11,19,17,18,10,2,6,7,9,4,12,8,20,3,16,14,25",14,2,0,5c35869f-4a76-44ab-b896-70d513868912
5c358790-e2fd-4a30-8c23-ec3e8789e0f4,Democrats,5c3588101f37e,"23,20,10,19,1,9,3,13,11,2,6,15,16,18,14,12,4,7,17,8,5,25",5,3,0,5c358790-e2fd-4a30-8c23-ec3e8789e0f4
5c3587e0-d733-4a06-a0e0-c461c4501bbc,Democrats,5c358830e3969,"23,16,17,18,13,4,10,19,9,12,20,5,1,2,15,11,3,7,6,14,8,25",25,5,0,5c3587e0-d733-4a06-a0e0-c461c4501bbc
5c35880f-62ff-4301-a6c4-2f20b9dc6f3c,Democrats,5c35888b26d15,"24,16,13,2,1,6,8,4,14,9,7,3,5,10,17,20,11,15,12,19,18,25",18,7,0,5c35880f-62ff-4301-a6c4-2f20b9dc6f3c
5c3588bb-da41-490e-9abd-ec5eb54f70ea,Republicans,5c3588ebd7f3c,"24,20,9,18,7,4,8,1,5,10,6,3,15,12,2,19,16,17,11,13,14,25",25,6,0,5c3588bb-da41-490e-9abd-ec5eb54f70ea
5c3588c8-f538-414b-bbd6-e41fd3961440,Democrats,5c35892a58c30,"24,16,10,17,12,8,20,4,5,13,11,6,9,14,15,1,2,3,18,19,7,25",25,4,0,5c3588c8-f538-414b-bbd6-e41fd3961440
5c3588fd-41cb-48e5-b3a1-4cd632fc3dcf,strong Republicans,5c35898187e48,"23,19,16,4,18,12,5,1,2,11,8,17,3,7,20,13,10,15,9,6,14,25",25,2,0,5c3588fd-41cb-48e5-b3a1-4cd632fc3dcf
5c3589c6-b4dd-4aac-b661-86f8d3cc31d6,Republicans,5c3589f35ca30,"24,1,10,14,8,2,13,20,7,6,12,17,9,18,5,11,3,19,15,4,16,25",16,10,0,5c3589c6-b4dd-4aac-b661-86f8d3cc31d6
5c3589cd-2270-4dd8-a7a7-008b8a763d11,strong Republicans,5c3589f713c18,"23,19,12,1,2,6,17,10,3,9,16,4,15,5,14,20,18,8,13,7,11,25",25,9,0,5c3589cd-2270-4dd8-a7a7-008b8a763d11
5c3589be-3e7b-46e2-b19d-7f20261b94f8,Democrats,5c358a54a5db0,"24,20,5,14,19,6,12,7,18,8,3,1,11,10,17,15,2,4,9,16,13,25",13,8,0,5c3589be-3e7b-46e2-b19d-7f20261b94f8
5c358a59-6e4f-40de-a543-8697ca3b2319,Democrats,5c358acd47f83,"23,10,19,7,6,15,14,5,13,2,16,8,11,1,9,12,18,4,17,3,20,25",20,6,0,5c358a59-6e4f-40de-a543-8697ca3b2319
5c358af0-ad21-46e4-bce3-c65452fe9945,strong Democrats,5c358b369987e,"23,8,13,7,16,17,12,19,15,18,9,6,20,11,4,14,5,1,10,3,2,25",2,3,0,5c358af0-ad21-46e4-bce3-c65452fe9945
5c358acb-adb7-4d75-b8e3-c9f9ff0ff51f,Democrats,5c358b3e7fa32,"23,14,12,16,7,8,19,5,10,20,15,11,9,18,6,2,1,3,13,4,17,25",17,4,0,5c358acb-adb7-4d75-b8e3-c9f9ff0ff51f
5c358b20-0532-4569-896d-d9764ff6c44b,strong Republicans,5c358b6b96115,"23,9,4,11,7,20,14,5,1,16,6,8,15,10,12,17,18,19,2,13,3,25",25,1,0,5c358b20-0532-4569-896d-d9764ff6c44b
5c358af5-cd22-4c16-bd85-9ad73591e109,Democrats,5c358b9b09927,"24,6,1,8,7,4,2,16,15,14,17,11,18,5,12,20,19,3,13,10,9,25",25,5,0,5c358af5-cd22-4c16-bd85-9ad73591e109
5c358b79-e188-4064-8cd8-35f7bfc50fc5,Republicans,5c358bc8140b8,"24,14,13,12,17,9,18,2,4,7,8,3,15,10,1,19,20,16,11,6,5,25",5,7,0,5c358b79-e188-4064-8cd8-35f7bfc50fc5
5c358b44-7690-401e-a4a2-81a79c046a63,Democrats,5c358c00b6b35,"23,4,16,9,5,17,11,1,7,20,12,8,10,18,15,2,19,6,14,3,13,25",13,8,0,5c358b44-7690-401e-a4a2-81a79c046a63
5c358b5b-b75a-468f-8912-9ff6033e9e61,strong Democrats,5c358c3ada089,"24,5,6,14,10,12,8,13,7,16,17,15,3,20,4,9,2,1,18,11,19,25",19,9,0,5c358b5b-b75a-468f-8912-9ff6033e9e61
5c358bdf-1a9e-4fcf-b648-888d14d92ebd,strong Democrats,5c358c41bedaf,"23,12,9,16,5,13,7,18,14,15,20,10,6,1,8,3,2,11,17,19,4,25",4,4,0,5c358bdf-1a9e-4fcf-b648-888d14d92ebd
5c358bf8-8f85-4d0b-bf7c-227e3f83572c,strong Republicans,5c358c6d57a0f,"24,13,4,6,18,15,7,16,14,19,20,3,1,11,8,17,10,5,9,12,2,25",25,7,0,5c358bf8-8f85-4d0b-bf7c-227e3f83572c
5c358c23-eb9c-4a5e-b401-b19c71ae6d39,strong Republicans,5c358c815823f,"24,12,15,2,8,13,16,4,14,9,6,18,3,17,11,20,1,19,10,7,5,25",25,3,0,5c358c23-eb9c-4a5e-b401-b19c71ae6d39
5c358c32-13bd-4f0a-8fd9-06a14e928df2,Democrats,5c358cb39c620,"23,16,13,17,6,4,5,18,2,10,7,1,15,20,9,11,19,12,14,8,3,25",3,1,0,5c358c32-13bd-4f0a-8fd9-06a14e928df2
5c358cc1-037f-42a2-a04f-9474b74e439d,Democrats,5c358d2d5abb3,"24,20,12,18,5,15,3,1,16,8,17,11,4,2,6,19,9,7,13,10,14,25",14,5,0,5c358cc1-037f-42a2-a04f-9474b74e439d
5c358ce6-2b09-431d-82e4-b534199d9a38,strong Democrats,5c358d32ad3d7,"23,13,16,5,8,15,19,18,10,6,12,1,11,2,4,3,14,17,20,9,7,25",17,2,0,5c358ce6-2b09-431d-82e4-b534199d9a38
5c358d46-000b-4a5e-bd5d-e42e30d83892,Democrats,5c358da7c7ea6,"24,14,6,5,10,16,19,2,17,12,3,11,13,1,18,8,7,15,9,20,4,25",4,10,0,5c358d46-000b-4a5e-bd5d-e42e30d83892
5c358db3-bde0-468a-b992-9d38cfe56a87,Democrats,5c358e01c4737,"24,5,7,2,11,12,3,1,15,20,6,14,19,4,10,13,8,16,17,9,18,25",18,6,0,5c358db3-bde0-468a-b992-9d38cfe56a87
5c358c94-9719-4cf7-bb61-717b22edc47e,Republicans,5c358e05e835a,"23,20,9,17,4,7,18,19,15,6,11,16,1,5,13,2,14,8,10,3,12,25",12,4,0,5c358c94-9719-4cf7-bb61-717b22edc47e
5c358da2-d20b-4d12-ae02-67259e2917ff,strong Republicans,5c358e4c5c20c,"23,14,9,2,17,5,10,20,8,4,6,16,12,7,18,1,15,19,3,13,11,25",11,7,0,5c358da2-d20b-4d12-ae02-67259e2917ff
5c358e0d-612f-4041-bb01-fa585dc4bc1a,Democrats,5c358e7c8697a,"23,16,5,19,12,6,15,8,1,2,11,17,4,18,3,14,9,10,13,7,20,25",25,3,0,5c358e0d-612f-4041-bb01-fa585dc4bc1a
5c358e51-84ff-48fc-b1a7-1531ba1ea7ae,Democrats,5c358eb9d538f,"24,8,19,18,17,20,11,14,9,12,2,5,13,6,4,10,3,15,1,7,16,25",25,5,0,5c358e51-84ff-48fc-b1a7-1531ba1ea7ae
5c358e7a-1f60-4549-883d-47ba9f58d079,strong Republicans,5c358ed2a89bd,"24,3,9,18,4,15,5,11,19,7,2,6,20,17,14,16,13,10,1,8,12,25",12,1,0,5c358e7a-1f60-4549-883d-47ba9f58d079
5c358d8d-5685-458f-9982-4b75715dbc0b,strong Democrats,5c358ed301620,"24,6,1,11,3,4,13,15,12,7,2,16,9,17,14,5,20,18,19,8,10,25",13,8,0,5c358d8d-5685-458f-9982-4b75715dbc0b
5c358e60-29b1-4159-bc7d-1cae737b8856,strong Democrats,5c358ed544c5b,"23,14,5,8,12,19,18,13,15,10,4,2,6,11,1,16,20,17,3,9,7,25",25,2,0,5c358e60-29b1-4159-bc7d-1cae737b8856
5c358eb2-843d-407b-a97b-2946a8275103,strong Democrats,5c358f0ba9512,"23,9,17,14,18,6,8,10,16,2,1,20,12,7,15,19,13,4,3,11,5,25",5,6,0,5c358eb2-843d-407b-a97b-2946a8275103
5c358ed7-cbb3-468e-afad-ba952c4f5c7a,Republicans,5c358f5c7c62d,"24,3,6,16,15,14,11,9,8,19,12,18,20,10,1,17,5,2,13,4,7,25",4,10,0,5c358ed7-cbb3-468e-afad-ba952c4f5c7a
5c358f75-8523-46c0-942b-13887a2d98e5,Republicans,5c358faf6570a,"24,18,8,13,19,16,5,12,2,3,10,20,14,7,9,6,1,15,17,11,4,25",25,9,0,5c358f75-8523-46c0-942b-13887a2d98e5
5c358f9f-b287-44fe-bdfa-c9422ff2311c,strong Democrats,5c35900451e29,"24,8,15,17,5,11,1,3,2,16,14,13,20,18,12,9,7,19,10,4,6,25",25,10,0,5c358f9f-b287-44fe-bdfa-c9422ff2311c
5c358eed-7d4d-4aa6-b398-3f0c8a18ab42,,5c35901176b03,"23,19,8,20,15,9,12,6,1,3,4,16,7,14,5,17,11,18,13,10,2,25",23,8,0,5c358eed-7d4d-4aa6-b398-3f0c8a18ab42
5c358fbf-19ef-45c1-994b-ee1c43f1a005,strong Democrats,5c35901d10216,"24,16,18,3,5,10,15,14,20,2,19,12,1,9,6,8,4,13,11,7,17,25",17,2,0,5c358fbf-19ef-45c1-994b-ee1c43f1a005
5c359081-a692-4738-ab34-05fdc57aa8f0,Democrats,5c3590e4739db,"23,7,6,2,20,8,19,9,15,16,12,3,14,17,1,13,18,4,10,11,5,25",25,7,0,5c359081-a692-4738-ab34-05fdc57aa8f0
5c359033-daf0-4a4a-8966-1bd5bcf68a1f,,5c3590fc1c845,"24,7,14,17,20,13,1,5,9,2,15,12,16,6,11,10,4,8,3,18,19,25",24,1,0,5c359033-daf0-4a4a-8966-1bd5bcf68a1f
5c35909d-879e-41c7-9f3e-b318827ca8e0,,5c359141bcb4e,"23,4,13,18,2,8,17,16,19,5,3,12,14,11,6,7,20,9,1,15,10,25",23,3,0,5c35909d-879e-41c7-9f3e-b318827ca8e0
5c359170-83b5-4f78-80c4-384575711d33,,5c3591da55d25,"24,2,9,16,7,11,5,10,15,3,12,17,4,6,18,20,13,19,8,1,14,25",24,6,0,5c359170-83b5-4f78-80c4-384575711d33
